No,Text,location,status
494,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…","California, USA",pos
495,Donald Trump Presidential Announcement Full Speech 6/16/15 @youtube @realdonaldtrump https://t.co/Hv55YNsufj,The Temple,neu
496,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94",Somewhere in the middle,pos
497,RT @johnpavlovitz: . @realDonaldTrump instead of live-Tweeting Saturday night comedy shows you should be reading the Constitution.#DoBetter…,"Harlem, (via Newark, NJ)",pos
498,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",texas ,pos
499,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it..",CPP 2020,pos
500,Burn AF! #DumpTrump #respondbitch https://t.co/Hh85ThcmTF,"im a nomad, I roam to find. ",neg
501,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Spokane, WA",pos
502,@realDonaldTrump you big baby! Make America Whine Again,United States,neg
503,"Make no mistake about it, MY President @realDonaldTrump is OUR Christmas miracle sent from God #hallelujah 🙏🙌🎄🎁🎀 https://t.co/XnahqfScV4",The city of lost Angels,pos
504,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…",St. Louis,pos
505,@Bala1000   Ur dead wrong anyway will see @realDonaldTrump,"Perth, Western Australia",neg
506,"@realDonaldTrump And yet you still can't find the time for regular national security briefings. Turn off the TV, dipshit.","Salt Lake City, UT",neg
507,@BenGurr74 @RyanMaue @realDonaldTrump I do actually. Have a great night.,Y-So-Serious,pos
508,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94","New York, NY",pos
509,RT @EricBoehlert: pretty sure over 8 yrs  @dailycaller published abt 145 articles complaining abt cost of protecting Obama's https://t.co/1…,So CA,neg
510,@realDonaldTrump I'm reading THE RISE AND FALL OF THE THIRD REICH to learn about how you came to power &amp; how we beat you. #DumpTrump,"San Antonio, TX",neu
511,@RANDOMHERO1983 @Sethrogen @realDonaldTrump He was probably at the rally.,"Chicago, IL",neu
512,@actbenefits @DineshDSouza @ffweekend @realDonaldTrump Richard is an embarrassing idiot leftie wacko!! PERIOD,"Colorado, USA",neg
513,@realDonaldTrump U have 2 b able 2 take a joke! He does a FABULOUS job of impersonating u &amp; will continue 4 the next 4 years--get used 2 it!,"Palm Springs, CA",pos
514,RT @brunelldonald: Midnight prayers 4 PE @realDonaldTrump + VPE @mike_pence in decision making! Prayers 4 their safety + the nation! P… ,Texas,neu
515,"@MagicRoyalty .@realDonaldTrump No, we are boycotting bloody royal assholes like you, Her Highness 😂 #NotMyPresident https://t.co/1pvYHr1PA6","California, USA",neg
516,@realDonaldTrump @billmaher was right #WhinyLittleBitch better get used to @nbcsnl @ABFalecbaldwin mocking you. They're spotonfunny as hell,"Dearborn, MI",neg
517,"@realDonaldTrump I can't delete my own retweet? Well ok, I meant to say this is the pathetic shit who's supposedly the next potus. Sad yes","Honolulu, HI",neg
518,@Lrihendry @realDonaldTrump He's Irrelevant just like DT said during Pres campaign!,"Draper, UT USA",pos
519,"@Trumpnado2016 That's why he's having a ""victory"" tour, so he can get some much needed adoration. Poor baby @realDonaldTrump",The Bakken ,neg
520,Get over it @realDonaldTrump It’s @NBC who’s been in the #DNC tank for years. What did you expect? It’s just shallow writing to amuse #DEMs,Nebraska,neu
521,RT @HouseCracka: You still cannot drink the water in Flint. Great waste of money Michigan! Who is forcing Michigan to pay for this n… ,GA,neg
522,RT @Blob_Fish: Is this funny don? @realDonaldTrump https://t.co/Gzwhw9CqHH,"Seattle, WA",neg
523,@realDonaldTrump My husband is #1.Deplorable fan of yours from day1. He's a NASA. Climate scientist with NAE membership.yes?,"los angeles,CA",pos
524,"@realDonaldTrump Don, boy, I know it's hard for you to understand humor, but if you tried to understand people beyond swindling them...","Seoul, Korea",neg
525,RT @tonyposnanski: @realDonaldTrump Alec would be a better POTUS-E. At least he makes people laugh.,"Hamilton, Ontario, Canada",pos
526,@realDonaldTrump How can it be biased when it's exactly what you did? Asking for America.,"South Carolina, USA",neg
527,RT @Margsbelle1958: @PoliticalAnt @ElectoralCollge @realDonaldTrump @POTUS @thewillpalmer @DrJillStein @sahmiya This is exactly why they ha…,Oklahoma,neg
528,@KFILE @realDonaldTrump Doesn't he have some briefing books to read?,"Phoenix, AZ",neu
529,RT @missie_88: Agree! Thank God the voters cane out! @realDonaldTrump really showed GOP HOW TO WIN AN ELECTION🌟👍❤👌❤👍👍👍👍 https://t.co/EYc6lR…,Ottawa / Melbourne,pos
530,@realDonaldTrump @alexbaldwin ...whoops @AlecBaldwin,USA,neg
531,"@realDonaldTrump can't wait to watch tonight , you scum sucking liar!","Portland, OR",neg
532,@politico @BarackObama @realDonaldTrump of course he is.  He has been a great President for cleaning up the Bush years.  God help us now!,United States,pos
533,@realDonaldTrump @AlecBaldwin is Hilarious :),"East Syracuse, New York",neg
534,"@realDonaldTrump it was HILARIOUS you WHINY LITTLE BITCH!!!!!!
So on point, exactly who you are.","Calexico, CA",pos
535,"RT @Evan_McMullin: In American politics, only @DanaRohrabacher has been a more vocal Putin and Russian apologist than @realDonaldTrump.",Alaska,neg
536,"RT @martynlenoble: “@realDonaldTrump: It's freezing outside, where the hell is ""global warming""??” That would be ""weather"" Donnie. I know,…",michigan,neg
537,"RT @Green_Footballs: President-elect, or whiny thin-skinned narcissistic man-baby? He’s both! @realDonaldTrump https://t.co/riymfYwNU2","Washington, DC",neg
538,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Atlanta,pos
539,"Check out @realDonaldTrump's Tweet: https://t.co/JMFugmKEXd.

Awww...poor Donald. Are they picking on you again?","ÜT: 37.71326,-122.47215",neu
540,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Huntington Beach, CA",pos
541,@realDonaldTrump Baldwin is an embarrassment an a lousy actor trying to be a comedian. He might make a decent dummy for a ventriloquist.,"Little Rock, Arkansas",neg
542,I didn't mean to make it this powerful https://t.co/jRPhSgonER,"Westchester, New York ",neg
543,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Los Angeles & London,pos
544,"@josephcourson @cafedotcom @realDonaldTrump the point is that he said it, not what day he said it on.. crybaby ;)",Southern California,pos
545,@realDonaldTrump get over yourself. You're uglier than Baldwin. #minorityPresident,WA,neg
546,"~@realDonaldTrump and this show has been around before I was born, skewered every president since Ford. For Fucks Sake dude…GROW THE HELL UP",Chicago ➡️ Oakland,neg
547,"RT @mike_pence: Louisiana, today is the last day for early voting. Please join @realDonaldTrump &amp; me in supporting @JohnKennedyLA f… ",Niger Delta ,pos
548,@TomthunkitsMind Trumps entire cache is a conflict of interest go straight to jail @realDonaldTrump #Impeach he'll ch11theNation @CNN,54.5260° N 105.2551° W,neu
549,RT @actbenefits: Solid put down of the Dem operative. Actually calls out the Dems for white supremacy with no rebuttal. Good work Di… ,Home,neg
550,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Cincinnati, OH",pos
551,"RT @rejialex7: I am sick people at @CNN @MSNBC @ABC @CBS bashing @realDonaldTrump Day&amp;Night so i made this for Trump supporters,le… ","Long Island, NY",neu
552,@realDonaldTrump @carolinagirl217  So true!,"Houston, TX",neg
553,RT @ChrisCaesar: daddy you should watch me strip for you instead @realDonaldTrump,I'm better than you,neg
554,@realDonaldTrump  alec baldwin was SPOT ON!!!!,"Georgia, USA",neu
555,@realDonaldTrump I am having a harder time every day telling you apart from @RealDonalDrumpf and @realDenaldTrump.… https://t.co/jJnFF6JfsY,"Cle Elum, WA",neu
556,RT @SAliboyy: @Amaka_Ekwo @realDonaldTrump We need help in this part of the world #SupportBiafra #StopBiafrakillings https://t.co/Q3JPrgX3pM,Biafra My Only Religion ,pos
557,"RT @LaurenWern: Look, grifter, I am quoting your favorite book.

You lie about giving to charity. You lie, you cheat, you steal.… ",NWArkansas,neg
558,"RT @ChocChip52: @OliMauritania @PoliticalScam 
@realDonaldTrump 
Please give #CongressmanDanaRohrabacher 
consideration for Secretary of St…","New York, London, HK",pos
559,@saradioboy @realDonaldTrump he did watch it tho 💀,"SO, TX ",neu
560,"@realDonaldTrump I have not watched SNL since the 80's, I don't know how it is still on the air. It has not been funny for 25 years",Colorado,neg
561,"@realDonaldTrump 
 The tv remote was best thing ever invented. I don't have to get up to change this beaten to death show.","Philadelphia, pa",neg
562,"RT @rejialex7: I am sick people at @CNN @MSNBC @ABC @CBS bashing @realDonaldTrump Day&amp;Night so i made this for Trump supporters,le… ","California, USA",neu
563,@JosWANTSTRUMP @cafedotcom @realDonaldTrump PSST! I'm not a Democrat... https://t.co/yzweV9ai1E,#TrumpIsTrash,neu
564,"@realDonaldTrump OKAY... DO NOT WATCH SNL IF IT JUST BOTHERS YOU, YOU ARE SOON TO BE PRESIDENT, WORRY ABOUT THAT. ALSO @AlecBaldwin IS GREAT","Sioux City,IA ",neg
565,@ABFalecbaldwin I envy your unique position that offers you the opportunity to annoy @realDonaldTrump in a way no one else can. #neverstop,"Canton, GA",neg
566,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Warner Robins, GA",pos
567,@realDonaldTrump they still think its funny to try and do the same Tina fey did w palin &amp; bush jokes.except w trump. So outdated.,"scotland
",pos
568,@realDonaldTrump @ABFalecbaldwin shouldn't you be focused on learning how to be the leader of the free world?? Scary.,Usually near the food,neg
569,@realDonaldTrump funny how I read this tweet in Baldwin's voice 😂 😂,Sitting on a cloud ,pos
570,RT @jordanrosstv: @realDonaldTrump don't you have better things to do?,Little Rock,neg
571,"@realDonaldTrump Shouldn't you be worried about presidential matters and not a TV show? Are you 5, you narcissistic ass?! Grow up!!!",Gallifrey ,pos
572,RT @chelseahandler: @realDonaldTrump @Nigel_Farage is essentially running what is the equivalent to the kkk in England. Do you do any homew…,Mars Bound InnKeepers Daughter Vegetarian Democrat formerly Independent ,neg
573,"@realDonaldTrump Honey, you've been watching every week now..they got ya.",Upstate New York,neu
574,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Washington DC metro area,pos
575,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…",Austria,pos
576,@realDonaldTrump They should really spend more time on the funny stuff - like mocking disabled people and grabbing pussies.,Under the sea.,pos
577,"@realDonaldTrump Remember this - https://t.co/aab0cybBC7 AWKWARD - u watch SNL, &lt;3 Tiger Woods, pay 4 play &amp; go on victory tours #perception","Bigly, USA",neu
578,"RT @Steve_Jake: @realDonaldTrump Why are you focusing on this show when every single comedian, late night host, and most scripted tv shows…",Up Putin's Ass,pos
579,@realDonaldTrump Saturday night live is not worth my time; it used to be funny back when!@AlecBaldwin tries too hard!,"1309 Silver in Donna,Tx",pos
580,RT @samtwyfordmoore: Rare footage of @realDonaldTrump watching Alec Baldwin's SNL impression before taking to Twitter to whinge about it. h…,@amworldtodaypm ,pos
581,"Yah know, it's just way too easy to bait these haters into a trap… I was hoping they'd do exactly this. LGBT advoca… https://t.co/JndAkbYrxZ","Morgantown, Wv",neg
582,"RT @KeithOlbermann: You, @realDonaldTrump, are in way over your gold-slathered fat head #Resign https://t.co/082pQsMi1D","Ohio, USA",neu
583,@ChristieC733 @SpeakerRyan @realDonaldTrump @LouDobbs @seanhannity @newtgingrich @trish_regan @KellyannePolls @Reince I agree Christie!,United States,neg
584,"A thought re the Netflix series Narco &amp; the 2016 election of @realDonaldTrump

Read: https://t.co/bxt9fCDaHv",Chicago,neg
585,RT @KeithOlbermann: I see @realDonaldTrump went dressed as an asshole. Again. https://t.co/fXl8WKTpaa,www.FullMetalHero.com,neu
586,@realDonaldTrump seriously? Don't you have something better to do with your time? Grow a pair.,NYC,pos
587,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94",South Town,pos
588,@rainbowblues61 @damnyouwillis @jonrosenberg @realDonaldTrump whens last time someone grabbed yours or is that only for attractive girls?,the 1st millenial chi-raq,pos
589,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94",United States,pos
590,@JonBershad @realDonaldTrump RUINED RELATIONSHIP W/CHINA❓❓😂😂 https://t.co/uzPYasjxS2,San Bernardino National Forest,neg
591,"RT @TeamTrump: Oorah, General Mattis: '@realDonaldTrump's Pentagon pick won’t start a war but he will finish one'
https://t.co/E3dwXN2U4y",USA,neg
592,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it..","Tampa, FL",pos
593,"@realDonaldTrump You have a country to run in 40+ days. Please read security briefings, the Constitution or a book. #thinskin #SNL",Los Angeles,pos
594,"RT @MarkD329: @realDonaldTrump Hey STUPID, if you don't like how SNL portrays you, DON'T WATCH IT. Then we won't put up with your whiny bul…","Bellmawr, NJ",neg
595,@realDonaldTrump You meant to say @CampbellforLa is the best US Senator for Lousiana. I know you sometimes get mixed up.,"Tennessee, USA",neu
596,"Peeeeeeotus, ladies and gents https://t.co/yIaG4zwmSX",United States,neg
597,It's amazing to think about the psychological power Alec Baldwin must have over @realDonaldTrump.,"Minneapolis, MN",neg
598,RT @BGirasek: @ezlusztig @KaraCalavera @realDonaldTrump 4 years? I think you're giving him too much credit. I smell impeachment in his futu…,"Alaska, USA",pos
599,And American Foreign Policy https://t.co/5KgpBx8Bzd,Earth...,neg
600,"@realDonaldTrump You're right, it's pathetic.",Colorado Springs,neg
601,@realDonaldTrump No one should try to impersonate you.  Your personality is just naturally funny and infectious.,Los Angeles,pos
602,Based Frm. Ambassador to China @JonHuntsman backs @realDonaldTrump's call with Taiwan. #MAGA #Trump #TrumpTransition https://t.co/mTT2mOpIWI,"University Park, PA",neu
603,RT @1611Paul: @davidweissman3 @DrJillStein HERE YOU GO JILL🍼 @HillaryClinton @realDonaldTrump @thehill @TheDemocrats @GreenPartyUS,Israel ,neg
604,"When @POTUS leaves office, his handle and millions of followers will be made available to @realDonaldTrump:… https://t.co/EueYSl3pNw","Manila, Philippines",neg
605,@realDonaldTrump Must See... Tucker Carlson Punk A Putrid Professor Who Wants To Shield C... https://t.co/0UUBeETsuG via @YouTube,"Florida, USA",neu
606,"RT @mike_pence: Louisiana helped send @realDonaldTrump to the WH on Nov 8, but we still have one more race to win. On Dec 10, let's… ","Fairfax Station, VA",pos
607,"American Jobs, Businesses and Land Up For Sale https://t.co/s8mQVHOqKU #WisconsinPrimary @realdonaldtrump #tcot https://t.co/HReOnYmPNc","New Jersey, USA",neg
608,RT @EvynnTyler: This guy needs to stop doing coke and posting propaganda all night. Yikes. https://t.co/YKIf2VKjba,a wondering Catholic Jew,neg
609,@realDonaldTrump  Baldwin is spot on! Are you a little thin skinned? Look in the mirror.,St. Louis MO,neu
610,"@realDonaldTrump snotty HS kids skit is so fitting. The actual cast is playing themselves, and America is in the audience shaking our heads","Colorado Springs, CO",pos
611,@realDonaldTrump That show was cool in the 70s and pretty cool in the 80s Alright in the 90s is it still on? https://t.co/lSCotXSG51,"California, USA",pos
612,"RT @SebGorka: VIDEO
""After Jan 20 we can REAALY take the war to gen Jihadis!""
https://t.co/slXXaS0KPr
@realDonaldTrump @GenFlynn @mike_penc…","Boston, MA",neg
613,@realDonaldTrump LOL! Guess too close to home! LOL! #YouLostThePopularVote #unpopular Need to divest your biz! #EmolumentsClause Burns! LOL!,"California, USA",pos
614,@JuddLegum @realDonaldTrump Watching SNL then tweeting about how much you hate it. NBC couldn't pay for this kind of publicity.,United States,neg
615,"@realDonaldTrump Just tried watching Trump -unwatchable! Totally inept, not smart and the Prez impersonation just can't get any worse. Sad","Syracuse, NY",neg
616,RT @AmericanVoterUS: @realDonaldTrump entire network is garbage @nbc,"Long Island, NY",neu
617,Agreed. Rudy was losing and totally lost his standing during the campaign. @realDonaldTrump #PEOTUS https://t.co/KATfbLh8Zd,"Island Park, NY",neg
618,"@realDonaldTrump it's kinda intriguing so much ""fear"" 4 President Trump yet libs. Posts are very aggressive &amp; confrontational. Weird. 🤔","Florida, USA",neg
619,@Learjetjockey @DineshDSouza @ffweekend @realDonaldTrump LOL yes he is and I am so sick of the division talk and crushing HillaryYES CRUSHED, Florida,neg
620,@HilaryLivings11 @kbeninato @SNLUpdate @realDonaldTrump Oh yes we do &amp; it's hilarious. 😂It's also scarily accurate! 😳,United States,pos
621,RT @CathieMarie2014: @realDonaldTrump Most AMERICANS DONT Watch That trash. WE are aware. It's all good. Let's just #MAGA 🇺🇸👍🏻🇺🇸👍🏻,"Los Angeles, California",pos
622,Whoa... https://t.co/rxGnA5lRQw,New York,neg
623,"RT @dbinkowski: .@realDonaldTrump less time watching SNL, more time reading intelligence briefings and history.",Earth...,pos
624,@RealAlexJones that is awesome! Only thing is now they will try to incite a reason for WWIII @realDonaldTrump,"Kirkland, Washington",neg
625,@realDonaldTrump who gets to win again? Bc history shows its ONLY white Protestant straight men Are you going to work for the rest of us,"Kalamazoo, MI",pos
626,@lol9mm @Parker9_ @realDonaldTrump   URA MORON!  How do you actually get through life?  LMAO at your ignorance!!!,"Sarasota, FL",neg
627,@realDonaldTrump I never watch Saturday night live anymore . Been over twenty years.😪,"San Diego, CA",neu
628,.@realDonaldTrump You whining about SNL skits is more hilariously pathetic than any actual SNL skit about you. #ToddlerInChief,Home,neg
629,"@realDonaldTrump haven't seen it yet but.... guessing by your response, Baldwin nailed it. Can't wait to watch #snl #clownfacevonfuckstick","Toronto, ON",neu
630,@realDonaldTrump it's really gotten rotten!,"Wilmette, IL",neg
631,NEWS ALERT ; James N. Mattis secretary of defense Trump News Today 12/03/16 @FoxNews @realDonaldTrump   https://t.co/1uXi1vLBKr,"Washington, USA",neg
632,@jonrosenberg @christianpiper6 @damnyouwillis @realDonaldTrump I fart in your direction. Slap yourself for the dumb comments little boy.,"Chicago, IL",neg
633,"RT @JustMeinMI: @realDonaldTrump has two years of undergrad, no degree. Does this make him the least educated president in history? 😦 
#Los…",chicago ,neg
634,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Australia, on a boat",pos
635,@realDonaldTrump @nbcsnl the reason this satire is so popular &amp; continues is cos is IS dead funny &amp; you're proving 2B the caricature.,"Manhattan, NY",neg
636,RT @azmoderate: You mean the $7 million tax payer dollars giveaway for 700 jobs while they still send 1300 to Mexico &amp; remaining em… ,"Small Town, North Carolina",neg
637,RT @gqforbes4: And you thought it was just the media conspiring to defeat @realDonaldTrump… https://t.co/UMoud1oQl9 #dtmag,United States,neg
638,"That's a badge of honor, right? It would be awful if @realDonaldTrump engaged ALL the people of our country. https://t.co/9ASqVdgFGA",New York City ,pos
639,@realDonaldTrump Someone's doing an Alec Baldwin impersonation?,"Brisbane, Australia. ",neu
640,@realDonaldTrump you'd better get used to the criticism,"Irvine, CA",neg
641,RT @billyeichner: .@realDonaldTrump do u watch my shows,"Playa del Rey, CA",neu
642,"RT @Green_Footballs: President-elect, or whiny thin-skinned narcissistic man-baby? He’s both! @realDonaldTrump https://t.co/riymfYwNU2",Earth...,neg
643,"@tyleroakley @realDonaldTrump I think if we got through 2 terms of Obama, you can get through a term of Trump.",Oklahoma,neu
644,"RT @ezlusztig: @realDonaldTrump Biased? Dude, whoever wins the Presidency gets ridiculed for 4 years. Keeps hubris in check. You know, demo…",United States,neg
645,Alec Baldwin responds to Trump's tweet about SNL's recent twitter skit. https://t.co/IkWqbD7GwN,JasmineBagerCruz@gmail.com,neg
646,"RT @rejialex7: I am sick people at @CNN @MSNBC @ABC @CBS bashing @realDonaldTrump Day&amp;Night so i made this for Trump supporters,le… ","California, USA",neu
647,@BMcCarthy32 @realDonaldTrump he tweeted the same exact thing a month ago...yet he still watches,Toronto ,neu
648,Damn right! https://t.co/siIIjabZWU,Little Rock,neg
649,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Usually near the food,pos
650,"@realDonaldTrump Sir, it's part of the job requirement. You will be spoofed on SNL for the next four years, minimum. Let it go.","Brooklyn, NY",neu
651,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Los Angeles,pos
652,"RT @_callmemal: Can't decide what is funnier. That @realDonaldTrump continues his Twitter attacks on @nbcsnl, or that he thinks his opinion…","Ak Bulak, Krgyszstan",neg
653,"@realDonaldTrump Shouldn't you be studying presidential responsibilities, constitutional law, instead of watching TV?","USA, PA",neu
654,.@nbcsnl  Was the best. Funny. Political SATIRE IS REAL ANERICAN -.@realDonaldTrump https://t.co/11NjJwcrHN,"Brooklyn, New York",neg
655,RT @thebenshow: .@realDonaldTrump did you know Alec Baldwin is Muslim?,"Brooklyn, NY",neu
656,@realDonaldTrump @alexbaldwin whoops = @AlecBaldwin,USA,neg
657,RT @CarmineZozzora: Here's a super genius who thinks Obama saved America from financial ruin by leaving it $10 TRILLION deeper in debt… ,"Miami Beach, Florida",neg
658,RT @CathieMarie2014: @realDonaldTrump Most AMERICANS DONT Watch That trash. WE are aware. It's all good. Let's just #MAGA 🇺🇸👍🏻🇺🇸👍🏻,"glen spey, new york usa",pos
659,"RT @SarahHuckabee: Under President @realDonaldTrump our allies will trust us again, our enemies will fear us again, and he'll never again a…",Louisiana,neg
660,"And there it is! If nothing else, @realDonaldTrump is incredibly predicatable! Sad! https://t.co/qwSIfYiJMt","New York, USA",neg
661,RT @EzakoD: WOW What a great deal maker U R @realDonaldTrump .Glad U R on track to MAGA.What did U personally get from this dea… ,"San Francisco, CA",pos
662,@realDonaldTrump your presidency is gonna be unwatchable,Holt,neu
663,"And he'd probably ask people who know things who he should and shouldn't talk to on an unsecured, privae phone line. https://t.co/d0rxisYEuR",Internet,neg
664,RT @davidweissman3: @DrJillStein time for you and @HillaryClinton to grow up and realize we have a new President.  #POTUS… ,"Clayton, NC",neg
665,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…",D.F,pos
666,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Brea, CA",pos
667,.@realDonaldTrump Wrong. It's HILARIOUS. Grow up you orange man-baby.,"Pittsburgh, PA",neg
668,@realDonaldTrump so you watch snl and tweet your crying but don't have time to read (like maybe the constitution)?… https://t.co/RKOvQ1CGli,"Pacific Grove, CA",neg
669,@realDonaldTrump rot in hell you asshole.,South Texas,neg
670,RT @CathieMarie2014: @realDonaldTrump Most AMERICANS DONT Watch That trash. WE are aware. It's all good. Let's just #MAGA 🇺🇸👍🏻🇺🇸👍🏻,"Atlanta, Georgia U.S.A.",pos
671,"Remember the TV Series Lil' Bush ?
Goerge didn't cry one time
If @realDonaldTrump doesn't like @nbcsnl then he shou… https://t.co/gx61n6AkAZ","wauwatosa, wi",neg
672,"RT @rejialex7: I am sick people at @CNN @MSNBC @ABC @CBS bashing @realDonaldTrump Day&amp;Night so i made this for Trump supporters,le… ",OBX NC,neu
673,"@realDonaldTrump you are!!Get over yourself. 
 Act like a LEADER not like a child..",818,pos
674,@realDonaldTrump you're a grown ass man that doesn't go to intelligence briefings. What kind of damn leader are you? High School class prez?,Chicago ➡️ Oakland,neg
675,"RT @SarahHuckabee: ""It's refreshing to see a U.S. president say America will do what it wants to. Deal with it."" -@GovMikeHuckabee on @real…",Big Orange Country,neg
676,Oh no you di'ent! https://t.co/IH2ZR0xgFn,"Beverly Hills, CA",neg
677,@Softykjr @realDonaldTrump softy do you do this just to watch the trolls dance for you? Keep it up!,sea-town,neu
678,@realDonaldTrump You're obsessed. The truth of what you are gnawing through you from the inside out. It will never get better. You can't.,Empire State,neg
679,RT @ProgressOutlook: @realDonaldTrump I put more effort into ordering from McDonald's than you put into learning how to be the leader of th…,"Dallas, TX",neu
680,@realDonaldTrump you have my total support but you do need to be able to laugh at yourself,"Aliso Viejo, ca",pos
681,"RT @CheryleGardiner: So sad. @realDonaldTrump is a con artist. He's the best con artist, a yuuuuuuge and tremendous con artist. Bend ove… ", ,pos
682,RT @LawDavF: China gives Trump benefit of doubt on grounds he didn't understand and was tricked. What will Trump say when asked… ,Geneva,neg
683,"RT @brunelldonald: Midnight prayers 4 the sick + shut in, homeless, unemployed, domestic violence victims, PE @realDonaldTrump + VPE… ","California, USA",neg
684,RT @oldtimer1950: @rejialex7 @CNN @MSNBC @ABC @CBS @realDonaldTrump  Mr.Trump is a good Man. and he will be a great President.,"#LiberalLand, California, USA",pos
685,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","New York, NY",pos
686,RT @MyCountryDreams: @realDonaldTrump sorry SNL was mean respond with #upyourbutt,Hogwarts ,neg
687,"@TherealMathew @jonrosenberg @realDonaldTrump yeah, that was the joke, well done","Pittsburgh, PA",pos
688,I'm pretty sure every comedian on Earth follows @realDonaldTrump.,Denver,neg
689,@realDonaldTrump count that in your wattle of hate. A gullet full of ignorance and narcissism. https://t.co/vGA1jAFAWx,"San Francisco, CA USA",neg
690,"@realDonaldTrump President-elect keeps watching ""unwatchable"" comedy show. SAD!","Livonia, MI",neg
691,I think @scottienhughes  is in the process of having her #pussy grabbed by #MINORITYpresidentelect @realDonaldTrump  @dumptrump33 @esd2000,Boston Ireland LA Japan NYC,neg
692,@MarkSimoneNY @realDonaldTrump Baldwin would   not have passed muster on Ted Mack's  Original Amateur Hour wth his SNL Trump. Corny and sad.,"Hernando, MS",neg
693,@USTaxAttorney @RawStory @EWDolan @realDonaldTrump there's no doubt this is EXACTLY what they're doing.Holding on til inag day so they get P,Oklahoma,neg
694,@ChristieC733 @SpeakerRyan @realDonaldTrump @LouDobbs @seanhannity @newtgingrich @trish_regan would you buy a used car from him?,Oklahoma,neg
695,RT @andreajmarkley: I'm guessing your mama didn't raise you right :D @atomicindica @realDonaldTrump @TigerWoods https://t.co/dK68T5gmFx,PA,neg
696,@MSAdvocate2001 @realDonaldTrump Ok then lolol... this was my very first https://t.co/bVjiWXikYa,"Brisbane, Queensland",pos
697,"@heiIDonaIdTrump I though he said ""Penis"" @realDonaldTrump @transition2017 #MAGA #altright #bannon #breitbartnews https://t.co/TVQji1Uupb","On sourdough, rye, pumpernickel, pita, roti, naan, French baguette, or on a Portugese bun.",neg
698,@realDonaldTrump Interesting: A. Johnson impeached because he tried to remove Ed Stanton Sec. of War! May you get the best &amp; the brightest.,"Richfield, MN",pos
699,"Hey,@realDonaldTrump, if you listened to intelligence briefs instead of watching @nbcsnl, you might know something about Taiwan.#LoserTrump","Indianapolis, IN",pos
700,@JaeDoolity @ProgressOutlook @realDonaldTrump Because of stupid people like you.,#NotMyPresident,neg
701,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Toronto, Canada",pos
702,"@realDonaldTrump IMG...Tweet storm just as predicted.  You can't help yourself, can you?  #resign",United States,neg
703,@realDonaldTrump u reek of updog,"Chicago, IL",neg
704,RT @RichardGrenell: . @realDonaldTrump spoke with Chinese President more than 2 weeks before speaking with Taiwan's President https://t.co/…,"Georgia, USA",neu
705,@realDonaldTrump can't believe ur retweeting teen rants! R u senile? Dementia? U r SAD https://t.co/j7UaGt6QhI,New York,neg
706,RT @MarkByers17: @charliekirk11 Heres a great example of how bad those participation 🏆 really are. They cause mental delusional. https://t.…,United States,neg
