,0
860,@realDonaldTrump you say same thing every saturday night. stop watching.
861,"@realDonaldTrump Lighten up, buddy."
862,@realDonaldTrump You're a sad little old man
863,RT @CoachSusanHasty: @realDonaldTrump  So you prioritize SNL over security briefs?
864,RT @OTOOLEFAN: .@realDonaldTrump You whining about SNL skits is more hilariously pathetic than any actual SNL skit about you. #ToddlerInChi…
865,@realDonaldTrump just look how thick skinned this he is like really you culd shoot at him and  probably why he skips his security briefings
866,@overrunbydogs @realDonaldTrump it's on HBO now.
867,RT @namenotme: @realDonaldTrump There is seriously something mentally not right with you. You're unfit to rule and will probably get us all…
868,"~@realDonaldTrump hell, in the time I was interim class president, I took my job seriously. You've demonstrated incompetence on a high level"
869,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
870,RT @philena: @realDonaldTrump you're so bipolar its stupid.
871,RT @jamiekilstein: I guess in order to distract @realDonaldTrump from starting any wars we just need to play SNL 24 hours a day.
872,@rcooley123 @realDonaldTrump It's not going to disappear because it is being replaced with something better.
873,"#samanata #samanata_id BobHagh Congrats on your 1000?? tweet! https://t.co/yADNi1zXJv

https://t.co/fTw6NgtRcy"
874,@MarkDice @realDonaldTrump He should have way more important things on his mind and agenda than to tweet whining about SNL!
875,"RT @JustMeinMI: @realDonaldTrump has two years of undergrad, no degree. Does this make him the least educated president in history? ? 
#Los…"
876,DRAG HIM https://t.co/qJoU3XRCn0
877,@realDonaldTrump shut up
878,"RT @AJDelgado13: I predicted a @RealDonaldTrump presidency on Nov 4, 2015.
One yr later, on Nov 8, 2016, it'll be reality. #MAGA

https://t…"
879,@ABFalecbaldwin @realDonaldTrump  haha! Alec Baldwin is awesome. DJT is a big baby.
880,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
881,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
882,@RegulatoryHell @TheDemocrats @KellyannePolls @realDonaldTrump They're not even smart Democrats. They vandalize mainly Trump supporters.
883,"@realDonaldTrump You're going to be the President of the United States ... fucking get over yourself and your precious little ego, snowflake"
884,"@tonyposnanski @realDonaldTrump I as thinking @AlecBaldwin should be swapped for Drumpf as prez, think his fanatics would note?"
885,@realDonaldTrump It's a good thing you're preparing to run this country and not busy being thin skinned over a television show. #whinybitch
886,@realDonaldTrump Quit tweeting and start doing something about UpDog
887,@realDonaldTrump Why are you watching comedy shows and skipping your security briefings?
888,@realDonaldTrump Did Mango Mussolini haves a sad? #WhineyLittleBitch
889,@TravisHampshire @realDonaldTrump that means you don't have a sense of humor. awful!
890,@tonyv1950 @jonrosenberg @realDonaldTrump oh hey I'm in Chicago too want to meet up and discuss how stupid you are or nah
891,RT @actbenefits: Solid put down of the Dem operative. Actually calls out the Dems for white supremacy with no rebuttal. Good work Di… 
892,"EVEN @realDonaldTrump IS LOSING PATIENCE @nbcsnl 
FROM COLD OPEN TO @SNLUpdate
'Totally Biased, Not Funny…Sad'
HACK… https://t.co/UlMakxw0xH"
893,@realDonaldTrump Don't bother. It's dried up. Not even worth talking about.
894,RT @girlsreallyrule: Objection to #MichiganRecount filed by @realDonaldTrump was overruled- the counting is set to resume next week.… 
895,@realDonaldTrump ...and yet you keep tuning in week after week after...
896,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
897,@realDonaldTrump Ignore the claptrap and #MAGA
898,@trentthecaptain @ABFalecbaldwin @realDonaldTrump He's uplifting millions of ppl each week. What are you doing with your life?
899,@realDonaldTrump SNL has been unwatchable for over thirty years.
900,@7thtemplar @LRBitisnot @realDonaldTrump You're rambling and detracting from the issue. The problem is that gov CAN do that not if they will
901,RT @KeithOlbermann: I see @realDonaldTrump went dressed as an asshole. Again. https://t.co/fXl8WKTpaa
902,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
903,@smerconish Obama is a lame duck. And @realDonaldTrump has been running the country as soon as #NATO agreed to pay more #MAGA
904,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it.."
905,"@YourMagconPolls @realDonaldTrump I ought you said ""Shawn Mendes on the show was trash"" I LOST MY FUCKING SHIT I WAS ABOUT TO GO NUTS"
906,RT @BobHagh: @realDonaldTrump Your impersonation of a President is unwatchable. Sad!
907,"Me either. Hey .@realDonaldTrump What gives? #Recounts #FlipTheElectors How can we accept an #OrangeFascist as ""pre… https://t.co/0CL9b2WTef"
908,@realDonaldTrump laugh a little don at how bad it is
909,@TrumpsGucciGirl @realDonaldTrump Who is she?
910,@realDonaldTrump you do not have a sense of humor
911,@realDonaldTrump how's your secret plan for defeating ISIS going? Does it involve SNL?
912,@realDonaldTrump your impression of a US president can't get any worse
913,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
914,@realDonaldTrump You are right.  Baldwin is missing your Ballsack Chin! https://t.co/ULQzliKztY
915,@realDonaldTrump lol ??????????????????#whatrugonnadoaboutit #allgumsno teeth
916,Turns out @realDonaldTrump missed his true calling: TV critic. https://t.co/WHIMFDsqA4
917,"RT @randreynolds: ""President"" @realDonaldTrump = the least popular in 192 years https://t.co/SvClTGGW97"
918,@realDonaldTrump How many times have you jerked off to your daughter?
919,RT @MenuComedy: @realDonaldTrump go to bed you old nut job! You have a FREE world to lead.
920,"@realDonaldTrump this is why I love your twitter so much. Its like he's not even president, he's just chilling. Mad respect"
921,RT @BobHagh: @realDonaldTrump Your impersonation of a President is unwatchable. Sad!
922,"@realDonaldTrump you are your own caricature. And if you can't laugh at yourself, it's going to be a rough presidency."
923,RT @jonrosenberg: @realDonaldTrump Have you tried Sesame Street? Might be more your speed
924,"@branders23 @christianpiper6 @realDonaldTrump no, it scaled popped its brain."
925,"CANADIAN STATE T.V. AGIT-PROP ""RAP"" VIDEO TAUNTS TRUMP/BANNON BY NAME, HAILS END OF WHITES! https://t.co/TLQE2GrFfZ @realDonaldTrump"
926,"RT @DanScavino: '@DrJillStein'S Michigan Recount Could Cost Taxpayers $12 Million'

#PEOTUS @realDonaldTrump gains in Wisconsin.
https://t.…"
927,@jeffmossberg @Learjetjockey @CarmineZozzora @realDonaldTrump Tricare prime remote taken from thousands of disabled/retired vet families
928,@realDonaldTrump jesus fucking christ. Is your skin made of tissue paper?! How are you gonna stand up for this country whining like punk?!
929,.@realDonaldTrump Seems Mommy @KellyannePolls forgot to take something else away too! @GissiSim @AnandWrites @ananavarro @JoyAnnReid
930,@realDonaldTrump I think that Ben Carson would have been better utilized at the VA https://t.co/Vu4vn3SC4Y
931,"@realDonaldTrump I just wished folks respected our Presidents or Presidents Elect. The world is watching us, its not funny to disrespect."
932,"@realDonaldTrump You just don't like being made fun of, ? acting like a 5yr old. Start acting like a President elec… https://t.co/cDSkbJl4d2"
933,"Hahah @realDonaldTrump you're so thin-skinned. You dish it out man, TAKE THE HEAT! Act like a leader not a baby… https://t.co/8hQqBrMSoJ"
934,@KatieKyros @realDonaldTrump wow it great and he can't handle jokes...sounds stable for leader of free world...your fired lol
935,"@JayToney2 @DanScavino @LindaSuhler @DrJillStein @realDonaldTrump  and somehow you're relevant , snowflake?"
936,"Says the ""pragmatic libertarian?"" https://t.co/ehJ2u48Xiu"
937,RT @politico: Secret Service faces massive bill for protecting @realDonaldTrump https://t.co/0JGNslogp5 | AP Photo https://t.co/eJ5dPzBBdq
938,RT @OTOOLEFAN: .@realDonaldTrump You whining about SNL skits is more hilariously pathetic than any actual SNL skit about you. #ToddlerInChi…
939,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
940,".@realdonaldtrump Oh, you didn't like SNL? Man the fuck up, Nancy. We're about to hand you the nuclear codes, for christ sake."
941,Then stop watching.... why is this complicated for you @realDonaldTrump ? https://t.co/ED71IFyDBB
942,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…"
943,"RT @GovMattBevin: The more I get to know @realDonaldTrump, the more I respect him. KY's strong support for Trump will pay dividends https:/…"
944,"Lmfao at ""ha"" https://t.co/YWYpwzKt5R"
945,"@realDonaldTrump How long before you nuke Rockefeller center, you fascist, #WhinyLittleBitch? #TwitterPrincess #SNL #orangesnowflake #Drumpf"
946,It's time for @realDonaldTrump to defend Last Tango in Paris.
947,"RT @thedailybeast: Alec Baldwin’s @realDonaldTrump goes Twitter crazy:
https://t.co/x66N1VVtfv #SNL https://t.co/PEFRlVdmgq"
948,RT @OTOOLEFAN: .@realDonaldTrump You whining about SNL skits is more hilariously pathetic than any actual SNL skit about you. #ToddlerInChi…
949,@realDonaldTrump I am sure it can get worse you have not even got into office to give him even more horrific material. You are UNWATCHABLE
950,"@realDonaldTrump Every time you cry like a baby @nbcsnl, I have to watch. You must have stock in NBC!
We'll never know #ReleaseYourTaxes"
951,RT @manojkjhadu: If @narendramodi ji is FAKEER dan @realDonaldTrump is d greatest living Marxist &amp; @VijayMalllya deserves work under MGNREG…
952,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
953,"Only 6 weeks &amp; 5 days, till President Trump is in the White House! https://t.co/7GlLVbiFpw"
954,RT @OTOOLEFAN: .@realDonaldTrump You whining about SNL skits is more hilariously pathetic than any actual SNL skit about you. #ToddlerInChi…
955,"@realDonaldTrump Totally not funny, Colbert right in the same ditch!"
956,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
957,"@realDonaldTrump @nbcsnl should spend time on the really funny stuff - mocking disabled people, committing fraud, and grabbing pussy."
958,@realDonaldTrump sorry snl has turned to shit
959,@realDonaldTrump element me please as your twitter advisor and observer
960,RT @BobHagh: @realDonaldTrump Your impersonation of a President is unwatchable. Sad!
961,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
962,RT @billyeichner: .@realDonaldTrump do u watch my shows
963,@TheLiePolitic @realDonaldTrump @AssangeFreedom No one stole your theme. I never even seen ur article it just made sense not to send cash
964,@realDonaldTrump TRIGGERED
965,@realDonaldTrump the world hopes so now! #finishedb4ustarted
966,"RT @ArianaRosaleen: @adamgabbatt @realDonaldTrump News flash, its President Elect. Obama is still in office until January. ??"
967,@realDonaldTrump you are laughable Don. @nbcsnl @CNN  please stop tweeting. As much as I am loving making fun of U. U should stop
968,"RT @CarmineZozzora: The @realDonaldTrump who wouldn't, couldn't and can't, did.

And America will be great again.

For all Americans.… "
969,Anyone shocked or surprised? This hate is real &amp; @realDonaldTrump is responsible https://t.co/8JCl0Ej0ss
970,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
971,"RT @yokoono: Dear Friends, 
I would like to share this message with you as my response to @realDonaldTrump
love, yoko https://t.co/s1BqfUgf…"
972,@realDonaldTrump baby trump is sad.?
973,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
974,RT @mrp: @realDonaldTrump very funny https://t.co/w39PO9Ojd3
975,"@realDonaldTrump &amp; last I ??not against??accept,congrats/respect?but yet!BO/last AG/HC armed Isis,HC?created w/assist/Benghazi/emails?but???"
976,"@slashfilm @realDonaldTrump At some point they won’t mention him on the show at all, and it will make his brain explode."
977,"RT @whytekiss: @realDonaldTrump I'v been following you and I'v learnt a lot from your priciples, phylosophy and quotes. Thanks, Mr trump."
978,"RT @funder: Where was #TRUMPLEAKS BEFORE the elections? 

We started in August &amp; distributed to 4,000 members of MSM-a ton was… "
979,RT @dckolarik: @realDonaldTrump #SNL has hit the wall long ago!  A bunch of libtards that think they are funny.  Baldwin sucks &amp; so does SN…
980,Our new president-elect has 16.6 million followers. Join in Americans. @realDonaldTrump @mike_pence It's great to b… https://t.co/t1ZqcbRmJc
981,@realdonaldtrump @cbsmichelegile omg awesome
982,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
983,@realDonaldTrump @SeapowerChair @RepRandyForbes @Randy_Forbes @RepPeteKing I HAVE BEEN TESTED BY A PROFESSOR IN PSYCHOLOGY AND THE TESTS
984,RT @OTOOLEFAN: .@realDonaldTrump You whining about SNL skits is more hilariously pathetic than any actual SNL skit about you. #ToddlerInChi…
985,RT @SteveKopack: ? We. Have.  A. Response. --&gt; https://t.co/ECOrGhDU93
986,"@realDonaldTrump um, that wasn't  #SNL, you were looking into a mirror, sir."
987,"RT @amrightnow: American Jobs, Businesses and Land Up For Sale https://t.co/s8mQVHOqKU #WisconsinPrimary @realdonaldtrump #tcot https://t.c…"
988,@ben_watching @ABFalecbaldwin @MsTeal @realDonaldTrump they hacked them remember? So they've been released lol
989,"RT @DanScavino: '@DrJillStein'S Michigan Recount Could Cost Taxpayers $12 Million'

#PEOTUS @realDonaldTrump gains in Wisconsin.
https://t.…"
990,@martycurtis1 @realDonaldTrump sad that you believe that. https://t.co/jLsXJQFMFK
991,Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/0FwWBpMKX9
992,~@realDonaldTrump and any technocrat can tell you that you're doing this wrong (and you've not even been fucking sworn in yet). JESUS CHRIST
993,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
994,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…"
995,@realDonaldTrump 
996,"RT @18_MACHINE: Know this @realDonaldTrump no matter  what you say tweet or do ...
 You will always be hated by the Majority of Ame… "
997,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
998,RT @Janetlarose1: @realDonaldTrump I WOULD SAY SHE (Hillary) SUFFERING FROM A SEVERE CASE OF KARMA  ... DM https://t.co/s0STMz4qrw
999,"@ABFalecbaldwin @realDonaldTrump you really got him with that release your tax return thing, he hasn't heard that one yet ? maybe try acting"
1000,"@ABFalecbaldwin @realDonaldTrump If DT bombed a country, he'd feel much better."
1001,RT @HouseCracka: You still cannot drink the water in Flint. Great waste of money Michigan! Who is forcing Michigan to pay for this n… 
1002,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1003,@realDonaldTrump they would be funny if they would get back to making people forget about the bad.all they do is political.
1004,@GlennThrush @realDonaldTrump Let me guess. MSM wants to be the mediator.
1005,@EvynnTyler @realDonaldTrump gravy train is over go get a freaking job ha ha Supreme Court is hard for the next 50… https://t.co/X1IF686JPz
1006,RT @ColMorrisDavis: Between @realDonaldTrump &amp; his picks they will have done most all of the things they made up about @HillaryClinton.  ht…
1007,"If you're trying to zing me, you missed. I'm a Socialist. https://t.co/oAWsUP1Usl"
1008,RT @brendangahan: @realDonaldTrump seriously? Don't you have something better to do with your time? Grow a pair.
1009,"@jfreewright @JohnnieWonder @realDonaldTrump not sure he knows what wikiPEDIA is.. wikiLEAKS, yes."
1010,RT @GCroker9: @Polys67 @givEmkeL @nfbrennan @realDonaldTrump you mean lose 1300 jobs while giving a $7million tax break to the company??
1011,"@realDonaldTrump Stop trying to cover up the FACT that you SETTLED a FRAUD against you for $25mil. As you said, SETTLING = GUILT. Ur crooked"
1012,"@HarrisHarrisev9 @realDonaldTrump ""mr president, something wrong is happening"" 

""But the bias Saturday night live smh"""
1013,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1014,@realDonaldTrump you are a big baby.
1015,"@realDonaldTrump Donald dear, your impersonation of a President is worse than Baldwin.. Can't stand those little tea cup hands waving around"
1016,@realDonaldTrump his impersonation is spot on.
1017,"RT @ItsTheBrandi: No, it's just a perfect example of why he shouldn't be president. https://t.co/T2kux2ug9b"
1018,@BobHagh @realDonaldTrump Good one &amp; right on point!! ??
1019,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
1020,@realDonaldTrump Perhaps you should focus on security briefings?
1021,"@realDonaldTrump I think it's hilarious and pretty spot on, man. You need thicker skin to do this job. Maybe you should step down?"
1022,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
1023,RT @ForQ2: I'd take SNL trump over @realDonaldTrump as prez any day of the week! https://t.co/1a9yLcPTAL
1024,@TeamTrumpCT @JonBershad @realDonaldTrump obviously you have no clue because I love my new president and I worked his campaign so shut up
1025,...but this is a pretty good reply. https://t.co/truU8SK7xT
1026,RT @nicholasstoller: It's time for @realDonaldTrump to defend Last Tango in Paris.
1027,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1028,@YourMagconPolls @realDonaldTrump PRAISE FRIGGIN PRAISE THIS IS WHAT WE NEEDED HDBSHDBSJDBSU?????MAY THE GODS BLESS YOU JXDBND
1029,@realDonaldTrump i hate you ??
1030,RT @BobHagh: @realDonaldTrump Your impersonation of a President is unwatchable. Sad!
1031,@BigStickie @jadenmarie @mrp @realDonaldTrump @AlecBaldwin @nbcsnl Especially Stephen Baldwin!
1032,"RT @VoteTrumpPics: “This campaign proves that the old rules no longer apply, that anything we want for our country is now possible.” -… "
1033,"RT @bradleymthomas: @realDonaldTrump Tried watching ur speeches- unwatchable! Anti-american, not funny &amp; the disabled impersonation just ca…"
1034,@ABFalecbaldwin @kbeninato @realDonaldTrump I find Trump's impression of a human being to be unconvincing and sad. Could it be worse?
1035,"@realDonaldTrump , see, as POTUS none of that can matter to you. Stifling free speech. Grow a pair. Get off twitter. Lead. Just damn lead."
1036,@realDonaldTrump Go away.....
1037,@realDonaldTrump I thought Shawn Mendes was great. Watchable! https://t.co/RnnfbmEJ6A
1038,"RT @HRClintonPrison: What a load of crap. OFFICIAL US POLICY SINCE NIXON ON TAIWAN/CHINA IS STRATEGIC AMBIGUITY.

BETCHA JOHN BOLTON KNO… "
1039,@FoxNews @realDonaldTrump it's my company I can go anywhere
1040,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1041,"RT @18_MACHINE: Know this @realDonaldTrump no matter  what you say tweet or do ...
 You will always be hated by the Majority of Ame… "
1042,@realDonaldTrump I just wanted to make sure you could watch again!!  https://t.co/s51xptBl7a
1043,"RT @KimSmythe2: You really nail Donald Trump on #SNL, @AlecBaldwin.  But you need to get a prosthetic chin to complete the look.  H… "
1044,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it.."
1045,RT @rookiephenom: @realDonaldTrump you're a grown ass man that doesn't go to intelligence briefings. What kind of damn leader are you? High…
1046,"? RT @realDonaldTrump: Just tried watching Saturday Night Live - unwatchable! Totally biased, not funny and the Baldwin impersonation just c"
1047,You're a freaking idiot! But here's a reminder @realDonaldTrump https://t.co/rmNxGP6UTi
1048,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1049,@OMGWTFBIBLE @realDonaldTrump Maybe Daddy Fred didn't hug him enough.  All those late night Klan rallies take up a lot of time.
1050,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1051,@realDonaldTrump they’re not worth your time.
1052,. @Josh_Moon @realDonaldTrump When are his aides going to delete this stupid fucker's twitter account? #DrumpfHumpf
1053,@SliceofPizzaHRC @realDonaldTrump good one
1054,RT @nicholasstoller: It's time for @realDonaldTrump to defend Last Tango in Paris.
1055,@davonmagwood @realDonaldTrump it's  difficult for Alec Baldwin to parody a parody https://t.co/zaBUoxwjl8
1056,@realDonaldTrump @SeapowerChair @RepRandyForbes @Randy_Forbes @RepPeteKing SHOWED THAT I AM HIGHLY INTELLIGENT! I AM A GENIUS!
1057,@realDonaldTrump you heard the man https://t.co/iTQnWeEUn4
1058,RT @Greg_Palast: BREAKING: @DrJillStein to confront @realDonaldTrump at #Trump Tower in #NewYork at 10 AM on Monday to tell him to stop blo…
1059,"@realDonaldTrump Quit your whiny bullshit. Don't like SNL, DON'T WATCH IT! Isn't it past your bedtime old fart?"
1060,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1061,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1062,RT @moekamerow: @EvynnTyler @realDonaldTrump gravy train is over go get a freaking job ha ha Supreme Court is hard for the next 50… 
1063,@realDonaldTrump You got time for comedy shows but not intelligence briefings? Really sad and scary. You're a dangerous child. Quit now!
1064,@realDonaldTrump I would like to also remind you that you let Comedy Central roast you. Focus more on crushing their globalist dreams.
1065,"RT @HeroAtLast: .@realDonaldTrump HAVING BILLIONS, YOU CAN AT LEAST BUILD A HOSPITAL IN A LIFETIME AS A HUMBLE ACHIEVEMENT, LOUSY PRICK"
1066,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1067,"RT @riotwomennn: Wait a minute is that the picture of me that I hate? No, that's just a plate of mashed potatoes @realDonaldTrump     https…"
1068,"@kharyp @realDonaldTrump @seanhannity This is where more fraud can happen in addition to all the illegals,dead ppl that voted for her Nov8"
1069,"@jeffmossberg @Learjetjockey @CarmineZozzora @realDonaldTrump day Obamacare came, coincidentally Obamacare took disabled vet fam insurance"
1070,"@realDonaldTrump Man, you really are a tool ain't ya."
1071,"RT @dbinkowski: .@realDonaldTrump less time watching SNL, more time reading intelligence briefings and history."
1072,"@DigitizingStl @damnyouwillis @jonrosenberg @realDonaldTrump I'm not your buddy, guy"
1073,"RT @radionotes1015: Not like the President-elect @realDonaldTrump, would have time to... ummm... tweet about.... this ? https://t.co/i3WNcY…"
1074,WARNING a person caught ALONE in the VOTE recount room.Who investigates this? @FBI @realDonaldTrump @DrJillStein… https://t.co/AbVsc87J9Z
1075,RT @wordzgirl: @realDonaldTrump Watching SNL then tweeting about how much you hate it. NBC couldn't pay for this kind of publicity.
1076,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1077,"@realDonaldTrump ""Amen"" I AGREE! They have 11 year olds writing their scripts. #boycottSNL FOREVER"
1078,@realDonaldTrump i'm thinking Alec may get an Emmy for SNL performances; that would be good since trump was never good enough
1079,@realDonaldTrump You are such a whiney little bitch...
1080,@realDonaldTrump show blows
1081,"RT @VoteTrumpPics: “This campaign proves that the old rules no longer apply, that anything we want for our country is now possible.” -… "
1082,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…"
1083,RT @BobHagh: @realDonaldTrump Your impersonation of a President is unwatchable. Sad!
1084,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…"
1085,RT @BPAnderson1164: @ABFalecbaldwin @realDonaldTrump Guess you will have a guaranteed job for a long long time.  Trump is scared to rel… 
1086,RT @cparkeast1: @realDonaldTrump be quiet @AlecBaldwin is great and has better wig. Hahahaha https://t.co/oQu4xzNOYV
1087,RT @jamiekilstein: I guess in order to distract @realDonaldTrump from starting any wars we just need to play SNL 24 hours a day.
1088,RT @Wild_Phil: @sheilaaj Also Check Out -&gt; https://t.co/d9sMESYcen
1089,RT @damnyouwillis: @christianpiper6 @jonrosenberg @realDonaldTrump Donald Trump lives in a golden tower with his own name on it.
1090,RT @TannersDad: .@ZaneSpaceCorner @veganmamalina @lauriefredricks @CNN @drsanjaygupta  #Wakefield Next CDC @CDCgov @RealDonaldTrump https:/…
1091,RT @DataLogicTruth: @realDonaldTrump you're an asshole and you love being one.
1092,@realDonaldTrump Try being dignified for a change. #manbaby #DeleteYourAccount #whinylittlebitch
1093,"RT @spearso: @realDonaldTrump no, the @ABFalecbaldwin impersonation is spot-on and HILARIOUS!!"
1094,"RT @snazjazz17: @YourMagconPolls @realDonaldTrump I ought you said ""Shawn Mendes on the show was trash"" I LOST MY FUCKING SHIT I WAS ABOUT…"
1095,Great response to Trump's tweet re #SNL https://t.co/0wnrBPkVix
1096,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1097,"@realDonaldTrump how old &amp; senile r u to retweet teenager rants w no basis in reality? Please step down, u r not FIT for POTUS!"
1098,@realDonaldTrump haha Donald you wild that's why I fucks with you
1099,"@realDonaldTrump any comment on the claim u still own stock in united tech, carrier's parent company when making deal? #conflictofinterest"
1100,"@realDonaldTrump  #DISTRACTION Don't spend the next news cycle talking about SNL, please. We need Taiwan fallout coverage.  #Nightmare"
1101,"@realDonaldTrump @skeeter3690 @TeaPainUSA  Alec Baldwin is perfect as you. That's what the majority of ppl think of you. Yes, majority."
1102,@FannieMorriso @brett_mcgurk @MikePenceVP @realDonaldTrump Kurds were being killed long before ISIS-cumulatively th… https://t.co/igMdTFKt4o
1103,"RT @SenSanders: .@realDonaldTrump promised to tax Carrier. Instead of a ""damn tax,"" they get a damn tax cut. How’s that for standin… "
1104,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it.."
1105,RT @dannywallace: @realDonaldTrump how come you've got so much time to watch tv and go to costume parties?
1106,"@realDonaldTrump instead of being angry at their perception, how about you change your perception."
1107,RT @DataLogicTruth: @realDonaldTrump though the fact you're obscenely obsessed with SNL is quite SAD!
1108,"He's going to keep them in a state of full-blown repeat hysteria for 4 years, isn't he? 

This is fun. https://t.co/haQX3Z0jkA"
1109,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1110,RT @jonrosenberg: @realDonaldTrump Have you tried Sesame Street? Might be more your speed
1111,@realDonaldtrump  You keep tweeting this stuff as if it will change the fact that SNL is spot on.  Stop tweeting pls.
1112,@rickyftw does @realDonaldTrump not realize everytime he says anything he is giving SNL more material to make fun of him with?
1113,@realDonaldTrump go spend some time learning things about diplomacy and American intelligence briefings
1114,@realDonaldTrump You are a (failing) president elect. Not a TV critic. The public is not interested in knowing what programs you like #Sad
1115,RT @ProgressOutlook: @realDonaldTrump I put more effort into ordering from McDonald's than you put into learning how to be the leader of th…
1116,"@realDonaldTrump lmao interesting how you can dish out criticism of every group (except straight, white, men) but can't take any #areyou12?"
1117,@realDonaldTrump mine is so much better Mr President
1118,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
1119,Get a life!!! @realDonaldTrump https://t.co/PscvF9RnSG
1120,"RT @ezlusztig: OMG if Donny T ever called me out on Twitter I would go on my own national Thank You tour. Have at it, Deplorables.… "
1121,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1122,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1123,make weed legal @realDonaldTrump
1124,@realDonaldTrump I sure do hope so! #notmypresident
1125,@realDonaldTrump could you be any more transparently thin skinned?
1126,RT @MarkDice: @realDonaldTrump Don't waste your time on those clowns Donald!  Watch my YouTube channel where I interview liberals.  Much mo…
1127,"@realDonaldTrump faabricateD! I do not watch Saturday Night Live, totally unwatchable! Bad. bad, bad. Sad."
1128,RT @COL314: Will @realDonaldTrump pardon the man in jail for taking photos of submarine
1129,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
1130,"@realDonaldTrump dumbass need to buy you a book ""Commander &amp; Chief for Dummies Audio version LOL, @cnn @HuffingtonPost @Reuters @MSNBC @ABC"
