,0,1,2
3286,RT @HomunculusLoikm: Read #RulesForRadicals below. This is exactly what Obama started &amp; @HillaryClinton will finish. Save USA! #Trump2016 h,Conch Republic & Blue Ridge,pos
3287,RT @politico: .@realDonaldTrump and @HillaryClinton wreck Facebook friendships  | AP Photo s45lsWbp,"California, USA",neg
3288,"@smith_lassen @HillaryClinton he also provided cleaning supplies and a fucking 18-wheeler full of necessities.

Did you do better?","Pittsburgh, PA",pos
3289,"RT @bfraser747: WAKE UP AMERICA.  

I'm far more concerned about @HillaryClinton ACTIONS than what @realDonaldTrump may say.  https:",United States,neu
3290,"RT @FlipItDem: CA can help #FlipItDem 4 @HillaryClinton so Madam President can implement her plans in 2017 
pDJn https:/","San Francisco, CA",neu
3291,RT @alfranken: Carson City is committed to making sure @HillaryClinton is our next President &amp; @CatherineForNV is my new colleague. https:/,"Philadelphia, PA",neu
3292,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http,"Cutler Bay, FL",neu
3293,@HillaryClinton tax plan more of the same as she tries to hide she's part of Wall Street. #FatCat,"Mishawaka, IN",neg
3294,"RT @iamgavinjames: Based off of this very poll, @HillaryClinton is unfit to be #POTUS! She lacks the integrity our country deserves! https:","MD, United States of America",pos
3295,@MarlonDMarshall @HillaryClinton at least he isnt PANDERING to them like YOU are HILLARY..............sAjqXhjzKc,Chicago,pos
3296,"Timberlake Steps In To Host @HillaryClinton Fundraiser
 toIQuS","Ahmedabad , Gujarat, India",neu
3297,RT @kupajo322: @HillaryClinton Our Movement Is LARGEROur Rallies Are LARGER Our Message Is STRONGER#TrumpTrainWE'LL #WIN https:/,commonsense USA,neu
3298,"RT @SouthChiRepublc: @AmalHanano 5 views can change the world if they're the right 5. 

@POTUS @FLOTUS  @JohnKerry @HillaryClinton @timkain",Blue Planet,neg
3299,"RT @bfraser747:  #ClintonCrimeFamily 

If @realDonaldTrump offends you may get feelings hurt.If you offend @HillaryClinton DEATH  https:",austin tx,neg
3300,".@RichardGrenell A ""Yuge"" Cher fan! Until she was a BHO supporter. I tweeted her about it and she blocked me.  h8mTp",USA,neg
3301,@JKWemyss @DBloom451 @realDonaldTrump @HillaryClinton @JudgeJeanine That's it!  Karma will eventually getcha. Its her turn!!,"New Jersey, USA",neg
3302,Hey @SecretService take a look here. ,Soaking in Seattle,neg
3303,"@BernieSanders @HillaryClinton 
""...to regain control of the Senate and potentially the House of Representatives...""","Buffalo, NY",neu
3304,"@smith_lassen @HillaryClinton go practice driving. Less vodka, comrade. ","Pittsburgh, PA",neu
3305,RT @gwatsky: *adult scissors *wrong candidate ,"Easton, PA",neg
3306,"RT @YoungDems4Trump: 8,000 retweets?! That's what happens when the media refuses to share the truth. They won't so we did ",Ft Worth Tx/Bellingham WA,neg
3307,"RT @bfraser747:  #ClintonCrimeFamily 

If @realDonaldTrump offends you may get feelings hurt.If you offend @HillaryClinton DEATH  https:",austin tx,neg
3308,"1 @HillaryClinton let she without sin throw the first stack of emails, WallStreetScripts #BrainCatScans at the #trumpTrain. #HillaryHealth","Brick, NJ",pos
3309,@DIRTYYYSOUTH @TexitDarling @TrumpEnchantid @HillaryClinton lol so you dont care she is associated with Putin?? You're one dumb twit.,United States,neg
3310,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http,"Middletown, NY",neu
3311,"RT @tchrismore: Shocked by pure hatred and venomous words directed at @HillaryClinton. It isn't political debate, it's fanaticism. https://",United States of this world,neu
3312,"RT @ImWithYou010: I wish Matt Lauer would probe @HillaryCLInton like they probed poor @RyanLochte 

#BiasedNBC #BiasedMSM",United States,neg
3313,"His anti @HillaryClinton wife, old prunefaced @mitchellreports said nothing. Now she repeats all #rwnj bullshit! #p2 ",United States of America,neu
3314,"RT @SamHarrisOrg: ""What Hillary Clinton Should Say about Islam and the 'War on Terror'""
pNxH3f5
@HillaryClinton ",all u self-promoters are janky,neg
3315,@HomunculusLoikm @HillaryClinton I don't want to own guns. I also don't want to get caught in the crossfire in public. I want common sense.,"Pacific NW, USA",neg
3316,@wendyvoss Elect: @realDonaldTrump. Indict: @HillaryClinton. ,"Al Rayyan, Qatar",neg
3317,"RT @ImWithYou010: I wish Matt Lauer would probe @HillaryCLInton like they probed poor @RyanLochte 

#BiasedNBC #BiasedMSM",AMERICA   ,neg
3318,"RT @bfraser747:  CAUTION

 Clinton body count - Here's a few suspicious deaths of people close to @billclinton &amp; @HillaryClinton https:/",United States,neg
3319,"@BostonGlobe @GlobeIdeas
#PredictionTime      ME CH RU
@realDonaldTrump 1/2  1   1 Winner!
@HillaryClinton        -1  -1  -1
War-1,No War 1",mumbai,neg
3320,@edwiley1960 @Jdplumer @HillaryClinton you do know that Dem. Is trying to take advantage from BLM movement. Right?,"Ohio, USA",pos
3321,RT @PplOverPolitics: Can You Imagine @HillaryClinton Computer Classes? #DeleteHillary #ClintonForPrison2016 #IndictHillary #EndCorruption h,Appalachia,neu
3322,"Yeah, never trust a broad, especially a phony broad who prints her face on  counterfeit broad money. #Broads  p",Chicago,neg
3323,RT @Run_IsHere: @MarilynT4 Andre didn't put that little piece of info in his talking point lie. @AndreBauerSC @PoppyHarlowCNN @HillaryClint,#StrongerThanMS,neg
3324,@maggieogs @HillaryClinton I know... Makes me laugh but sad at the same time.,Earth most of the time,neg
3325,"@HillaryClinton I love how liberals bitch about Climate change, but need a personal jet to travel 20 miles. ",United States,pos
3326,RT @maggieogs: @HillaryClinton There are idiots across America who think that that insincere pseudo-apology he gave the other night reps a,Earth most of the time,neg
3327,@MarlonDMarshall @HillaryClinton   but did trump COST FOUR AMERICAN  LIVES?,Chicago,neu
3328,"@HillaryClinton Listen, you Marx-adoring hedonist, don't let your mind wanderit's far too little to be let out on its own.","Texas, USA",neu
3329,"Oh God does this make me like @HillaryClinton 

Cause gross hBU5V",CA,neg
3330,"RT @bfraser747: WAKE UP AMERICA.  

I'm far more concerned about @HillaryClinton ACTIONS than what @realDonaldTrump may say.  https:","Seattle, WA",neu
3331,RT @nicholasvirzi: @LindaSuhler is @Salon saying the Democrats have dumped Jesus?  Let's see @HillaryClinton take that to the black communi,"No Criminal Presidents, USA",neu
3332,"RT @UTHornsRawk: #Hillary lies people died. Matt Lauer 
#WheresHillary #HillaryLeaks #HillarysHealth  ","Los Angeles, CA",neg
3333,"#US
40% of @realDonaldTrump &amp; @HillaryClinton's #Twitter accounts are fake, sth about 3 mln!
They bought followers! ","Tehran, Iran",neg
3334,"RT @shaynil: ""Pramukh Swami didnt just teach virtues  he lived them every day.  Thats what made him a Guru"" - Hillary Clinton @HillaryCl",Durban,neg
3335,RT @Lagartija_Nix: Hillary Clinton Reported to be on Russias TERROR SPONSOR WATCH LIST  @realDonaldTrump @Hillary,"Toronto, Ontario",neg
3336,RT @AccuracyInMedia: Lining Her Own Pockets? 96% of @hillaryclinton's Donations were to Clinton Foundation  #tcot ht,Conch Republic & Blue Ridge,neu
3337,RT @WDFx2EU5: NORTH CAROLINA: Historic Black church says Supporting @HillaryClinton is like being with an abusive ex-spouse ,"Brooklyn, NY",neg
3338,@HillaryClinton the fact you breathe is staggering...sAjqXhjzKc,Chicago,neu
3339,Let';s ask @HillaryClinton what she thinks about this. #EquestrianDressage ,"Sandy Springs, GA",neu
3340,"@PoliticalAnt 
Bit of point-counterpoint:



@HillaryClinton",iran,neg
3341,WOW! I fear this is just the tip of the iceburg. @HillaryClinton @JoyAnnReid #ImWithHer #NeverTrump ,"Linden, NJ",neg
3342,"RT @SecularKafir: Why would she be in Louisiana? They're askIng for money, not giving... ",Ohio,neg
3343,"Hey @bfraser747! Haven't seen Bernie in awhile, what happened to him?  Did Killiary get rid of him like the others? ","San Jose, CA",neg
3344,RT @BethanyBlankley: #WikiLeaks Proves @HillaryClinton &amp; #Obama Created #ISIS in 2012 sustwaRvB #tcot #ccot #pjnet #terrorism,Middle TN.,pos
3345,"@ShitZone @Makedni @RussiaInsider @HillaryClinton can't say ,,, dunno what's really wrong w her, but she's a goner with writing on the wall","Kuala Lumpur, Malaysia",neg
3346,"@realDonaldTrump You lamented, ""When is the last time we won anything?"" Q answered! @HillaryClinton next big WINNER. pkTPOIAY6","In my own zone, at my own pace",pos
3347,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http,United States,neu
3348,@JoanneColombo damn right. For the country is learning and realizing that @HillaryClinton is the devil. Not like waterboy but for real,"Florida, USA",neg
3349,RT @WDFx2EU5: NORTH CAROLINA: Historic Black church says Supporting @HillaryClinton is like being with an abusive ex-spouse ,"Canada, 3rd Rock From the Sun",neg
3350,@DissentingAdult @sallykohn @HillaryClinton @realDonaldTrump Those in the right photo amount 2 a invasion force&lt;in fact ISIS boasts about it,Australia,neg
3351,RT @AccuracyInMedia: Lining Her Own Pockets? 96% of @hillaryclinton's Donations were to Clinton Foundation  #tcot ht,"Decatur, Illinois",neu
3352,RT @sewingsandra: she can't have a press conference but Hillary sure can fund raise from her rich friends tSZr0rXV,United States,pos
3353,RT @SwingerSays: #DonaldTrump has released his new TV ad with the rallying cry for his supporters @HillaryClinton @HFA @TheDemocrats https:,Room 7609,neg
3354,"RT @loluwotm: @pbaratelli @HillaryClinton How is a building going to run our country? If you Trump supporters are going to rant, at least m",snapchat- jaylinhollister ,pos
3355,Wow. Not kidding about Trumple being low info ,Soaking in Seattle,neg
3356,"RT @HomunculusLoikm: Yep! ISIS, Obama, @HillaryClinton, the IRS, #TheFBI and 4 #SupremeCourt Justices. Better VOTE for #Trump! ",USA Nomad,pos
3357,@realDonaldTrump No thank you. I prefer being a country of individuals with different dreams and ideas. @HillaryClinton,"Toms River, NJ",neg
3358,"if true, most likely . . . ","Kuala Lumpur, Malaysia",neg
3359,RT @NRA: #Fact: The #2ndAmendment is on the ballot this November. ALL #2A supporters must unite to defeat @HillaryClinton #NeverHillary,"Arkansas, USA",neg
3360,"RT @ash_like_whoa: Yeah, never trust a broad, especially a phony broad who prints her face on  counterfeit broad money. #Broads  .",all up in this bitch,neg
3361,RT @gwatsky: *adult scissors *wrong candidate ,The Batcave,neg
3362,"""It is past time we act on gun violence."" @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate ",U.S.A,neg
3363,"RT @Don_Vito_08: #WheresHillary Was the last question #BillClinton asked before setting up his private server @HillaryClinton 
#MAGA https:",USA,neu
3364,@bfraser747 @littleoldme_2 @billclinton @HillaryClinton unreal. She's just dying for power.,"Phoenix, AZ",neu
3365,RT @FelineBengal: @JKWemyss @DBloom451 @realDonaldTrump @HillaryClinton @JudgeJeanine That's it!  Karma will eventually getcha. Its her tur,"Mansfield, OH",neg
3366,RT @WDFx2EU5: NORTH CAROLINA: Historic Black church says Supporting @HillaryClinton is like being with an abusive ex-spouse ,Crosslake MN ,neg
3367,"RT @ImWithYou010: I wish Matt Lauer would probe @HillaryCLInton like they probed poor @RyanLochte 

#BiasedNBC #BiasedMSM",The Woodlands,neg
3368,RT @Lagartija_Nix: Hillary Clinton Reported to be on Russias TERROR SPONSOR WATCH LIST  @realDonaldTrump @Hillary,"Orlando, FL",neg
3369,"RT @LincolnBevers: LET'S TAKE AN ACTUAL, UNBIASED POLL.
VOTE &amp; RETWEET (often as possible)
@realDonaldTrump @HillaryClinton
#THINK2016","Coeur d'Alene, ID",neg
3370,RT @nycjim: .@johnastoehr is up to No. 87 in his epic @HillaryClinton #doublestandard #sexism tweetstorm. Hoping he hits 100. ,Toronto,pos
3371,"RT @UTHornsRawk: #Hillary lies people died. Matt Lauer 
#WheresHillary #HillaryLeaks #HillarysHealth  ",United States,neg
3372,"RT @RinoRooter: @realDonaldTrump builds ppl's lives
@HillaryClinton has destroyed lives of many. #TrumpPence2016 @cristinalaila1 .",Texas,neg
3373,RT @OfficialJLD: Since this is #VEEP nite at #DNC2016 I thought it would b appropriate 2 declare proudly #ImWithHer @HillaryClinton https:/,Russia,neg
3374,"RT @AmericanMex067: .@HillaryClinton needs stools &amp; frequent rest. 

@realDonaldTrump puts in non stop work. 

#WheresHillary ",United States,neg
3375,"Make up your mind, @HillaryClinton sR0","Sandy Springs, GA",neg
3376,RT @Hillary2016Pres: Don't hate me cause I'm fabulous! @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate ,USA,pos
3377,@jdfjnf879294 @HillaryClinton Some of us do Crystal. Many of us do. Keep the faith!,Earth most of the time,pos
3378,"RT @AmericanMex067: .@HillaryClinton needs stools &amp; frequent rest. 

@realDonaldTrump puts in non stop work. 

#WheresHillary ",Eastern PA,neg
3379,RT @SpencerMRitchie: Wonder if Matt Lauer and @NBCNews will grill @HillaryClinton on emails like they just did @RyanLochte.,"Orlando, FL",pos
3380,RT @seanhannity: House Oversight Committee releases damning video detailing @HillaryClinton's perjury ,"Daytona Beach, FL",neg
3381,RT @RickMad: Former CIA operative @Evan_McMullin is clearly a globalist plant to siphon votes from Trump. #MAGA ,Woodland ca,neg
3382,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http,"Virginia, USA",neu
3383,RT @Pistoldad: @1401bonniek @HillaryClinton Oh really? You actually this she cares about you? Get a clue!,commonsense USA,pos
3384,@MarlonDMarshall @HillaryClinton The President is as much white as he is black though he said he disowned the white part. Pretty racist.,"Florida, USA",neg
3385,RT @Kelly62u: @magnifier661 @kayleighmcenany  Hey @CNN Submit your Leaks here   Safe! @HillaryClinton Will never know,"Virginia, USA",neu
3386,"RT @Cernovich: I hereby offer $100,000 to @HillaryClinton's charity if she submits all medical records to panel of independent doctors. #Hi",EARTH,pos
3387,@HillaryClinton Five Companies - registered in Delaware ??   s0cDUH,Pennsylvania,neu
3388,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http,"Loomis, California",neu
3389,"RT @Hillary2016Pres: ""It is past time we act on gun violence."" @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate ",Ari/Scott,neg
3390,"RT @JaredWyand: How many European women were raped after the last kid you exploited world ender

You need a helicopter ride to Syria https:","Vancouver, BC",neg
3391,"@FelineBengal @DBloom451 @realDonaldTrump @HillaryClinton @JudgeJeanine 
That big wheel keeps spinning. Eventually you get spun off.","Mansfield, OH",neg
3392,Apparently this is how my daughter feels about the #2016election. @HillaryClinton ,"Ohio, USA",neg
3393,RT @DissentingAdult: @JaredWyand @sallykohn @HillaryClinton @realDonaldTrump This is what they show you...this is what you get. ,Kevin's Ego,neg
3394,@NeilTurner_ @HillaryClinton like ur FAKE Man and you too,Finland,neg
3395,Good Question! sSVSCptn,Texas,neg
3396,@acs5281988 @alvin_kmiec @obamascrewingus @HillaryClinton Says the guy whose Twitter name is FREE MILO. Are you freeing the $100k he stole?, USA ,pos
3397,Democratic memes suck. #NeverDemocrat ,"Washington, DC",neg
3398,RT @npnikk: @HillaryClinton unsecured email server report revealed identity of U.S. spy  Iran HUNG him  .,MN,neg
3399,"pHiKDO3Z interview 1,300 register voters from FL. @realDonaldTrump 49, La Chusma @HillaryClinton 49. s7","US, Mexico & Canada",neu
3400,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http,Around,neu
3401,"Retweeted God's Rock Eli (@Elimelech_Ring):

@sophie_diesel @realDonaldTrump @POTUS @HillaryClinton @netanyahu... tsxA",Messiah Jesus!Go 2 Hell Satan!,neg
3402,RT @Lagartija_Nix: Hillary Clinton Reported to be on Russias TERROR SPONSOR WATCH LIST  @realDonaldTrump @Hillary,"Lakeland, Florida",neg
3403,"RT @bfraser747: WAKE UP AMERICA.  

I'm far more concerned about @HillaryClinton ACTIONS than what @realDonaldTrump may say.  https:",America,neu
3404,"RT @Rosielars67: @HillaryClinton Yes I do, How bout you do you? How about accepting responsibility . you Blame everyone now Col. Colin Powe",commonsense USA,pos
3405,"Its a Nightmare for woman, when they are forced to stand behind a woman such as @HilaryClinton ; you can do better ","Ohioville, PA",neg
3406,RT @NeilTurner_: @HillaryClinton Can't wait to see you behind bars. #HillaryForPrison2016 ,India ,neu
3407,RT @SpencerMRitchie: Wonder if Matt Lauer and @NBCNews will grill @HillaryClinton on emails like they just did @RyanLochte.,"Ashland, Kentucky",pos
3408,"RT @bfraser747:  CAUTION

 Clinton body count - Here's a few suspicious deaths of people close to @billclinton &amp; @HillaryClinton https:/",RIVERINA. NSW ,neg
3409,America is great when we stand together! Let's build Unity by voting for @HillaryClinton President of the United States! @Marlychaudry,U.S.A,pos
3410,"RT @AmericanMex067: .@HillaryClinton needs stools &amp; frequent rest. 

@realDonaldTrump puts in non stop work. 

#WheresHillary ","Winfield, IL",neg
3411,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http,Warm In Bed,neu
3412,"@bfraser747 @HillaryClinton #Florida #Ohio #PA #VA #TX #WI #NC #LA #CO @wisgop @VA_GOP @PAGOP Private eye her hitman,Not ex Larry Nichols.","Pittsford, NY",neg
3413,"@TeamTrump @realDonaldTrump Yeah, @HillaryClinton said that 2 weeks ago. Your script writers stealing from her now? Seems odd.","Toms River, NJ",neg
3414,RT @WDFx2EU5: NORTH CAROLINA: Historic Black church says Supporting @HillaryClinton is like being with an abusive ex-spouse ,"Phoenix, AZ",neg
3415,@HillaryClinton where you been liar,Trump Tower,neg
3416,RT @Old_Bern_Kenobi: @HillaryClinton It's too late for you to say you didn't lie about your email,India ,neu
3417,.@MLauer asked @RyanLochte tougher questions than he'd ever dare ask @HillaryClinton. @nbc is a disgrace. #Rio2016 #WheresHillary #Trump,The frozen liberal hell (MN),neg
3418,"@HillaryClinton @sahilkapur First of all, you really want to use the word staggering the way you've been walking!?","Florida, USA",neg
3419,"RT @mmmoonie: @HillaryClinton @timkaine

#hilLIARy has no regrets!

#NeverHillary

WATCH THE VIDEO b4 u #vote
#TrumpPence16 #MAGA

https://",Red Earth ,neg
3420,"RT @Marlychaudry: Honored 2 share my story while working the @HillaryClinton campaign.@Marcha_isabelle
#affordablecare
#blackgirlmagic http",U.S.A,neu
3421,"RT @DvnMichael: ""And for him to say he sacrificed. He does not know sacrifice."" -Gold Star Mother for @HillaryClinton #NVTogether ","Las Vegas, NV",neg
3422,"@joffutt1 @maggieogs @HillaryClinton Trump Yard Sale Network... To pay off his debts, fines and court fees. ",Earth most of the time,neg
3423,@ABC That's easy.  She's not @HillaryClinton.  @DrJillStein @ThisWeekABC ,"Slapville, USA",neg
3424,@HillaryClinton the MILITARY does NOT want you as their Commander in Chief. Neither do we! #MAGA #TrumpTrain  ,"Destin, FL",neg
3425,"RT @nopasa: The backstory: child was harmed in hizballah attack, whose sole benefactor just rec'd $400M from the Obama admin @sallykohn @Hi","Kenosha, Wisconsin",neg
3426,"RT @scrowder: We get it, @HillaryClinton. Colin Powell is just the latest in the blame game. t","Monterey, California",neg
3427,"RT @bfraser747:  GEORGE SOROS

This is an EVIL man. He funds BLM &amp; @HillaryClinton . They don't want to #MakeAmericaGreatAgain  https:/","Cordova, TN - Oxford, MS",neg
3428,RT @gwatsky: *adult scissors *wrong candidate ,TX,neg
3429,Oh hell nooo that shit was funny!!! @HillaryClinton @billclinton @ChelseaClinton @ajamubaraka @kierobar @Deir_in_DC  ,"Chicago, IL",neg
3430,RT @AccuracyInMedia: Lining Her Own Pockets? 96% of @hillaryclinton's Donations were to Clinton Foundation  #tcot ht,Texas,neu
3431,@DissentingAdult @sallykohn @HillaryClinton @realDonaldTrump As 4 the boy&gt;the UN is at fault 4 NOT arranging safe corridors 4 women&amp;children,Australia,neg
3432,RT @bfraser747:  #HumaAbedin is @HillaryClinton long time assistant/ partner in crime with strong ties to the Muslim Brotherhood  https:/,"Tennessee, USA",neg
3433,@kupajo322 @thehill @HillaryClinton and the coming defeat really really big believe me,Northern California,neg
3434,"RT @TheEllenShow: Happy birthday, @BillClinton! I hope @HillaryClinton got you some balloons. ",finding dory ,neu
3435,What a moron. - @MSNBC  Meet The Press host blows up Trump apologist @KatrinaPierson for lying about @HillaryClinton hwrxx,"Washington, DC",neg
3436,RT @politico: Justin Timberlake steps in to host @HillaryClinton's West Coast fundraiser  | Getty hg,Chicago Il- Naples FL,neu
3437,Maybe @LouisianaGov Can Ask For A Massive @HillaryClinton Foundation Relief Effort Since He Doesn't Want Anyone To Visit In Person.,"California, USA",pos
3438,RT @Roark__: Shills AND Bots? @HillaryClinton is getting desperate! ,India ,neg
3439,"RT @BreastsR4babies: @persephonesbox @HillaryClinton  We already know 'THE REAL"" Donald Trump. ",#NoWar,neu
3440,@HillaryClinton That's funny coming from you.,"Missouri, USA",pos
3441,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http,Battlestar Republic,neu
3442,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:","Tennessee, USA",pos
3443,"@brandongroeny @TeamTrumpAZ  same here, I had no Idea @HillaryClinton was doing that! hhB5J","Sandy Springs, GA",neu
3444,"RT @asamjulian: @HillaryClinton Haha, which means, you took away our only narrative against you, Donald! ",Middle Earth,pos
3445,"Retweeted God's Rock Eli (@Elimelech_Ring):

@sophie_diesel @realDonaldTrump @POTUS @HillaryClinton @netanyahu... hFhft09F",Messiah Jesus!Go 2 Hell Satan!,neg
3446,hAWs68 @HillaryClinton @billclinton frauds! Power hungry assassins!,"Scarborough, ME",neg
3447,"@HillaryClinton I'll be sure to read your pamphlet if I ever need instruction on how to be a dimwitted, morality-abandoning ecoweenie.","Texas, USA",pos
3448,RT @gs777gs777: This is so great ! Hillary Clinton can never be POTUS if placed on Terror Watch by foreign leaders/ #Putin GOOD! .,Arizona ,pos
3449,"RT @DineshDSouza: .@HillaryClinton's ""experience"" has gotten America exactly nothing. Can you think of even a single accomplishment?
https:",USA,neu
3450,"@FelineBengal @DBloom451 @realDonaldTrump @HillaryClinton @JudgeJeanine
Clinton Cash is a disgusting ""watch""
Uuuuuugggggghhhhhhh...Hillary!","Mansfield, OH",neg
3451,"RT @AmericanMex067: .@HillaryClinton needs stools &amp; frequent rest. 

@realDonaldTrump puts in non stop work. 

#WheresHillary ","California, USA",neg
3452,This is disturbing on so many levels. @BarackObama @JoyAnnReid #NeverTrump #ImWithHer @HillaryClinton @CoryBooker snS536OZEH,"Linden, NJ",neg
3453,"RT @obamascrewingus: Sexual predators, adulterers, pathological liars, unethical politicians, criminals and that's just the Clinton family",United States,neg
3454,"RT @khodabakhsh24: #US
40% of @realDonaldTrump &amp; @HillaryClinton's #Twitter accounts are fake, sth about 3 mln!
They bought followers! http",Islamic Republic of Iran,neg
3455,"RT @scrowder: We get it, @HillaryClinton. Colin Powell is just the latest in the blame game. t",Canada,neg
3456,RT @Lguard80: CAN U BELIEVE THIS: #NeverTrump @realDonaldTrump @HillaryClinton #BlackWomenMakeHistory (must read) #ImWithHer  ,"Brooklyn, New York",neu
3457,RT @BethanyBlankley: #WikiLeaks Proves @HillaryClinton &amp; #Obama Created #ISIS in 2012 sustwaRvB #tcot #ccot #pjnet #terrorism,Pennsylvania ,pos
3458,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http,"Collierville,TN",neu
3459,"Hillary TOLD Islamic Terrorists Where 2Kill Ambassador Chris Stevens! hIlW7y19Rd #WW, is this TRUE@LYIN'Queen @HillaryClinton","Houston, Texas",neg
3460,RT @davewhorton: Hey @katyperry Pls help spread theWord We R tweeting everyHour 2get #trump 2release taxes Pls RT @HillaryClinton thx https,California,pos
3461,RT @BillyJrPatriot: @LouDobbs @AOL Those protesters were paid by @HillaryClinton. #CrookedHillary #NeverHillary #Trump2016 ,NoDa Charlotte NC,neg
3462,"@acs5281988 @alvin_kmiec @obamascrewingus @HillaryClinton You must b such a brainiac you think recession=employment.
", USA ,neu
3463,.@iamgavinjames She's going to lose this election. We are too powerful. It's a movement she can't overcome! #MAGA hfoePm,USA,neg
3464,RT @BethanyBlankley: #WikiLeaks Proves @HillaryClinton &amp; #Obama Created #ISIS in 2012 sustwaRvB #tcot #ccot #pjnet #terrorism,USA,pos
3465,"RT @DineshDSouza: .@HillaryClinton's ""experience"" has gotten America exactly nothing. Can you think of even a single accomplishment?
https:",Living the endless summer...,neu
3466,"RT @bfraser747: . ATTENTION 

It troubles me MSM seems to care less @HillaryClinton won't give a REAL press conference.  WAKE UP https:/","Columbus, OH",neu
3467,@hillaryclinton what you did to piss me off? YOU RAPED MY FUTURE WIFE MADE HER A DRUG ADDICT DESTROYED MY POSSESSIONS &amp; LIFE TRIED 2 KILL ME,CLOUD 9,neg
3468,@VABVOX @HillaryClinton we all smelled bull shit the moment he pandered an apology u could tell included virtually no apology,"Eugene, Oregon",neg
3469,RT @bicreezyfans: 1MILLION RT for @HillaryClinton please! #HistoryMade  @DeleMomodu @voteforclintons @ToksAfikuyomi ,"Lagos,Nigeria",pos
3470,"Resume: 
Lawyer
Wife of Governor
1st Lady
Senator
Sec of State
Madam President 1-20-2017
#imwithher @HillaryClinton #triana4cnn RT",Atlanta,neu
3471,RT @disspat: Yet @HillaryClinton hasn't been punished for exposing classified emails... double standard?  .,Beneath the surface of Venus,pos
3472,"Retweeted God's Rock Eli (@Elimelech_Ring):

@sophie_diesel @realDonaldTrump @POTUS @HillaryClinton @netanyahu... sn44sQpHU",Messiah Jesus!Go 2 Hell Satan!,neg
3473,RT @HomunculusLoikm: Read #RulesForRadicals below. This is exactly what Obama started &amp; @HillaryClinton will finish. Save USA! #Trump2016 h,"San Bernardino, CA",pos
3474,@MagicRoyalty @HillaryClinton i don't think u people think deeply before u write something here well that's how Trump too write his 70ys old,Finland,pos
3475,@RichardGrenell @HillaryClinton @cher I'm impressed! Keep up the good work Richard!,Scottsdale Arizona,neg
3476,Seriously @HillaryClinton This isn't a bad idea. Put the vaccine one front &amp; center. It's the dumbest one! ,"Northwood, Philadelphia",neg
3477,"So much energy spent the right way instead of yelling offensive nonsense at a rally!
#StrongerTogether #ImWithHer sgyWNf","Weston, FL",neg
3478,@DissentingAdult @sallykohn @HillaryClinton @realDonaldTrump UN had ample time2negotiate cease fires 4 this purpose! sNGfes,Australia,neg
3479,"RT @UTHornsRawk: #Hillary lies people died. Matt Lauer 
#WheresHillary #HillaryLeaks #HillarysHealth  ","Arizona, USA",neg
3480,"RT @PetsVoteToo: @davewhorton @katyperry @HillaryClinton @realDonaldTrump Tweet this to them too, so they can act: tBqoqA","Chicago, Illinois",neg
3481,"RT @bfraser747: WAKE UP AMERICA.  

I'm far more concerned about @HillaryClinton ACTIONS than what @realDonaldTrump may say.  https:",Kansas,neu
3482,"@FelineBengal @DBloom451 @realDonaldTrump @HillaryClinton @JudgeJeanine 
Sheriff Clarke says we need to defund the dysfunctional areas.","Mansfield, OH",neg
3483,"RT @AlphaShacks: @HillaryClinton WOW! Some real nice editing there. lol
Too bad you don't know how to walk as well as you use Premier Pro.","Villa Park, CA",pos
3484,"@AlexMorash @HillaryClinton In a million years, maybe! She's too busy sitting on #HillaryStools to know what a job is! #Trump #TrumpPence16",USA,neu
3485,RT @nicholasjparisi: @HillaryClinton @realDonaldTrump FAIR AND BALANCED POLL ALL REG VOTERS IN US PLEASE,"Texas, USA",neg
3486,@acs5281988 @alvin_kmiec @obamascrewingus @HillaryClinton He has one economist on his team whom he has never met with., USA ,neu
3487,@HomunculusLoikm @HillaryClinton Paul Harvey talked about it years ago about how we would lose America he was right on the money,"San Bernardino, CA",neg
3488,"RT @bfraser747:  GEORGE SOROS

This is an EVIL man. He funds BLM &amp; @HillaryClinton . They don't want to #MakeAmericaGreatAgain  https:/",Pa,neg
